Disease,Medicine,Category,Priority,Precautions,Description
Urinary Tract Infection (UTI),Citalka Liquid,Urine Alkalizer,2,Mix 2 spoons in a glass of water. Take after meals.,Reduces burning sensation while urinating.
Peptic Ulcer,Omee / Razo 20,PPI,1,"Avoid smoking, alcohol, and NSAIDs like Ibuprofen.",Heals stomach lining.
Arthritis,Zerodol-SP,NSAID/Muscle Relaxant,1,Take after food to avoid gastric irritation.,Reduces joint pain and inflammation.
Arthritis,Volini Gel / Moov,Topical Analgesic,2,Apply locally. Do not apply on open wounds.,Instant local pain relief.
Conjunctivitis,Ciplox Eye Drops,Antibiotic Drops,1,Do not touch dropper tip to eye. Wash hands frequently.,Clears bacterial eye infections.
Hypothyroidism,Thyronorm,Hormone Replacement,1,Take strictly on an empty stomach early morning. Wait 45 mins before eating.,Synthetic thyroid hormone.
Cervical Spondylosis,Myoril 4mg,Muscle Relaxant,1,Maintain proper neck posture. Do neck exercises.,Relieves muscle spasms in the neck.
Heart Attack,Disprin (Aspirin 325mg),Antiplatelet,1,EMERGENCY: Chew tablet immediately and seek urgent medical help.,Thins blood during a suspected heart attack.
Heart Attack,Sorbitrate 5mg,Nitrate,2,Place under the tongue. Seek emergency care.,Relieves severe chest pain temporarily.
Appendicitis,Emergency Hospitalization,Surgical Emergency,1,"CRITICAL: Do NOT take laxatives, enemas, or pain meds as they can mask symptoms or rupture the appendix. Go to the ER.",Requires immediate surgical evaluation.
Food Poisoning,Electral Powder (ORS),Fluid Replacement,1,Drink plenty of water to avoid dehydration.,Replenishes lost fluids and electrolytes.
Food Poisoning,Emeset 4mg (Ondansetron),Anti-emetic,2,Take if vomiting is severe.,Prevents severe nausea and vomiting.
Tonsillitis,Azithral 500,Antibiotic,1,Complete the 3-5 day course. Do warm saline gargles.,Clears bacterial throat infections.
Tonsillitis,Betadine Gargle,Antiseptic Solution,2,Do not swallow. Gargle 3-4 times a day.,Soothes throat and kills local bacteria.
Insomnia,Melatonin 3mg,Sleep Aid Supplement,1,Take 30-60 mins before bedtime. Avoid screen time.,Natural hormone supplement to regulate sleep cycle.
Insomnia,Sleep Hygiene Routine,Behavioral Therapy,2,Avoid caffeine and heavy meals late at night.,"Maintain a cool, dark room and strict sleep schedule."
Eczema,Cortiderm (Hydrocortisone 1%),Topical Corticosteroid,1,Apply thin layer to affected area twice daily. Do not use for more than 2 weeks without consulting a doctor.,Reduces severe skin inflammation and itching.
Eczema,Cetaphil Restoraderm / Emollients,Moisturizer,2,Apply generously immediately after bathing to lock in moisture.,Repairs skin barrier and prevents dryness.
